"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"MU";"1502301";"Capitão Poço (PA)";"67693";"67287";"68854";"79697";"80075";"73979";"69200"
"MU";"1502400";"Castanhal (PA)";"27400";"30936";"31830";"27346";"30792";"31245";"18000"
"MU";"1502509";"Chaves (PA)";"99000";"101402";"73420";"77567";"76705";"67249";"75771"
"MU";"1502608";"Colares (PA)";"157";"129";"123";"139";"386";"223";"412"
"MU";"1502707";"Conceição do Araguaia (PA)";"271975";"295172";"307069";"313561";"301103";"288677";"279313"
"MU";"1502756";"Concórdia do Pará (PA)";"9180";"8623";"9705";"9973";"9958";"9839";"9923"
"MU";"1502764";"Cumaru do Norte (PA)";"683072";"749278";"821185";"743174";"772554";"808396";"846495"
"MU";"1502772";"Curionópolis (PA)";"290000";"246000";"262000";"270000";"265000";"264446";"256321"
"MU";"1502806";"Curralinho (PA)";"160";"190";"203";"210";"236";"242";"230"
"MU";"1502855";"Curuá (PA)";"34034";"32109";"32181";"34433";"37187";"37148";"44068"
"MU";"1502905";"Curuçá (PA)";"1435";"1328";"1720";"1485";"1504";"1372";"220"
"MU";"1502939";"Dom Eliseu (PA)";"105634";"102980";"102064";"90765";"88426";"66838";"57562"
"MU";"1502954";"Eldorado do Carajás (PA)";"234000";"194000";"220000";"266000";"300000";"321322";"339704"
"MU";"1503002";"Faro (PA)";"871";"1019";"12149";"10966";"11318";"12109";"13102"
"MU";"1503044";"Floresta do Araguaia (PA)";"157068";"166237";"168494";"182039";"186621";"180742";"183236"
"MU";"1503077";"Garrafão do Norte (PA)";"44079";"48946";"50325";"55324";"56117";"57520";"56680"
"MU";"1503093";"Goianésia do Pará (PA)";"262091";"212152";"236237";"260724";"250730";"247493";"180000"
"MU";"1503101";"Gurupá (PA)";"5344";"5557";"23";"1444";"1608";"1266";"1419"
"MU";"1503200";"Igarapé-Açu (PA)";"19050";"19139";"21345";"21899";"22105";"20849";"15000"
"MU";"1503309";"Igarapé-Miri (PA)";"1320";"1143";"1180";"970";"1075";"925";"1946"
"MU";"1503408";"Inhangapi (PA)";"12700";"10202";"13909";"11482";"13532";"14010";"5871"
"MU";"1503457";"Ipixuna do Pará (PA)";"105375";"110052";"85387";"106639";"108178";"100352";"95104"
"MU";"1503507";"Irituia (PA)";"67860";"66874";"77237";"78185";"81315";"67888";"37044"
"MU";"1503606";"Itaituba (PA)";"325567";"337737";"360703";"344197";"331381";"328979";"368776"
"MU";"1503705";"Itupiranga (PA)";"378000";"302000";"315000";"378000";"562275";"562280";"584217"
"MU";"1503754";"Jacareacanga (PA)";"12993";"15602";"16085";"15396";"14716";"14468";"80476"
"MU";"1503804";"Jacundá (PA)";"170860";"198617";"178000";"186413";"171868";"172860";"172363"
"MU";"1503903";"Juruti (PA)";"30137";"40996";"21745";"28441";"27872";"31486";"40347"
"MU";"1504000";"Limoeiro do Ajuru (PA)";"16";"17";"27";"20";"23";"20";"18"
